,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status,Pass_Fail,passfail_prediction
92,Almond,1A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-19,Released,False,0.37250063244345455
100,William,10WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-21,Released,False,0.4813176629815278
103,Wind,4WW22,Female,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-21,Other School,True,0.4813176629815278
107,Whispy,2WW22,Female,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-21,Other School,True,0.4813176629815278
110,Vega (Tilly),2VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-09-30,Released,False,0.21744197318516637
113,Viggo,8VV22,Male,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-09-30,Released,False,0.21744197318516637
119,Tammy (Daisy),9TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-09-27,Released,False,0.20306931019159602
124,Springsteen,1SS22,Male,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-09-21,Released,False,0.28867582413033144
128,Splash,6SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-09-21,Released,False,0.28867582413033144
135,Quentin (Dempsey),1QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-14,Released,False,0.22153400186428251
139,Quantas (Oliver),6QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-14,Released,False,0.22153400186428251
146,Priscilla (Lizzie),5PP22,Female,LR,B,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Released,False,0.4750950260389781
150,Nana,4NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-08-29,Released,False,0.3145074120600483
154,Nifty (Ruby),5NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-08-29,Released,False,0.3145074120600483
160,Moana (Dugan),1MM22,Female,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-25,Released,False,0.37250063244345455
165,Leone,2LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-15,Released,False,0.274290212740731
171,Keoki (Kaelynn),9KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-17,Other School,True,0.3478746724568018
174,Kiara (Kara),2KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-17,Other School,True,0.3478746724568018
181,Joy (Keeva),2JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-09,Released,False,0.37250063244345455
185,Pitt WCC,4N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-09-06,Other School,True,0.8170731744396914
186,Emily II WCC,7N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-09-29,Other School,True,0.8170731744396914
187,Rodger WCC,8N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-16,Other School,True,0.8170731744396914
188,Delcore WCC,6N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-16,Other School,True,0.8170731744396914
189,Pink Puppy,5N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True,0.8170731744396914
190,Purple Puppy,9N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True,0.8170731744396914
